year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
2012,,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-0.8333333333333335,-2.8333333333333335,-1.5000000000000002,-2.8333333333333335,0.6666666666666665,0.16666666666666652,0.0,-2.8333333333333335,1.3333333333333335,-2.8333333333333335,1.8333333333333335,-0.8333333333333335,1.0,-0.3333333333333335,-2.8333333333333335,-1.0000000000000002,-0.8333333333333335,-1.8333333333333335,-1.6666666666666667,-1.8333333333333335,-1.6666666666666667,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-2.8333333333333335,0.16666666666666652,-1.8333333333333335,-1.5000000000000002,1.1666666666666665,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.3333333333333335,-2.5,-1.1666666666666667,-1.0000000000000002,0.0,-1.8333333333333335,-1.1666666666666667,-0.5,0.16666666666666652,-1.8333333333333335,-1.1666666666666667,0.33333333333333304,-2.166666666666667,-2.166666666666667,-1.0000000000000002,-1.8333333333333335
2013,,-1.3333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.6666666666666667,-2.666666666666667,-0.666666666666667,0.33333333333333304,-2.166666666666667,-2.3333333333333335,-1.0000000000000002,-0.666666666666667,-1.8333333333333335,-0.5,-0.8333333333333335,-2.8333333333333335,0.0,-1.8333333333333335,-1.6666666666666667,-2.8333333333333335,-1.6666666666666667,1.1666666666666665,-1.6666666666666667,-1.6666666666666667,-0.5,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.1666666666666667,-2.5,-2.8333333333333335,-1.1666666666666667,-1.5000000000000002,-2.8333333333333335,-2.3333333333333335,-2.166666666666667,-1.1666666666666667,-2.5,-0.8333333333333335,0.16666666666666652,-0.3333333333333335,-0.16666666666666696,-2.5,-2.3333333333333335,0.16666666666666652,-2.3333333333333335,-1.6666666666666667,-1.0000000000000002,-1.5000000000000002
2014,,-2.8333333333333335,-1.6666666666666667,-2.3333333333333335,-2.8333333333333335,-2.166666666666667,-2.8333333333333335,-1.5000000000000002,2.6666666666666665,0.16666666666666652,-1.1666666666666667,-2.8333333333333335,-1.0000000000000002,0.16666666666666652,-1.0000000000000002,0.5,-1.5000000000000002,-1.8333333333333335,0.16666666666666652,-2.0,-1.1666666666666667,-1.8333333333333335,-1.8333333333333335,-0.8333333333333335,-2.8333333333333335,0.0,-2.8333333333333335,-2.5,-0.8333333333333335,0.16666666666666652,-2.0,-0.3333333333333335,-0.5,-1.8333333333333335,-2.666666666666667,0.5,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-0.5,0.6666666666666665,-1.3333333333333335,-2.8333333333333335,-0.8333333333333335,-2.5,0.16666666666666652,-1.8333333333333335,1.6666666666666665,-1.8333333333333335,0.16666666666666652,-2.0,-0.8333333333333335,0.33333333333333304,-1.3333333333333335
2015,,0.16666666666666652,-0.5,-1.8333333333333335,-2.8333333333333335,-2.666666666666667,-1.6666666666666667,-2.8333333333333335,-1.8333333333333335,0.6666666666666665,0.6666666666666665,-0.5,-0.8333333333333335,-1.1666666666666667,-2.8333333333333335,-2.8333333333333335,-2.3333333333333335,-0.666666666666667,-2.3333333333333335,-2.8333333333333335,-2.8333333333333335,-1.1666666666666667,-1.8333333333333335,-2.8333333333333335,-0.16666666666666696,-1.8333333333333335,-1.8333333333333335,-1.3333333333333335,2.1666666666666665,-0.666666666666667,-0.8333333333333335,-1.5000000000000002,-2.8333333333333335,-1.5000000000000002,-2.8333333333333335,-2.666666666666667,-1.8333333333333335,-1.3333333333333335,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-2.8333333333333335,-2.166666666666667,-1.1666666666666667,-0.8333333333333335,1.1666666666666665,-2.8333333333333335,-2.8333333333333335,-2.5,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.166666666666667
2016,,-2.8333333333333335,-1.8333333333333335,-2.166666666666667,-0.8333333333333335,-2.0,-1.8333333333333335,0.16666666666666652,-1.5000000000000002,1.0,-1.8333333333333335,-0.3333333333333335,0.16666666666666652,-1.8333333333333335,-1.1666666666666667,-2.166666666666667,-0.8333333333333335,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,0.16666666666666652,-1.8333333333333335,0.33333333333333304,0.16666666666666652,-2.3333333333333335,-1.8333333333333335,-2.8333333333333335,0.5,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-0.16666666666666696,-0.5,0.0,-0.16666666666666696,-1.8333333333333335,-2.8333333333333335,-2.5,-1.5000000000000002,-2.8333333333333335,-2.666666666666667,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.5,-1.0000000000000002,-0.3333333333333335,-0.8333333333333335,-2.8333333333333335,-2.8333333333333335
2017,,0.5,-1.8333333333333335,-1.6666666666666667,-2.8333333333333335,-1.1666666666666667,-1.8333333333333335,-0.8333333333333335,-2.8333333333333335,-2.0,1.8333333333333335,0.16666666666666652,-0.8333333333333335,-2.8333333333333335,-2.5,-2.8333333333333335,0.16666666666666652,-0.16666666666666696,-0.8333333333333335,-2.8333333333333335,-0.8333333333333335,-1.5000000000000002,-0.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.3333333333333335,-2.8333333333333335,-1.8333333333333335,0.33333333333333304,-2.8333333333333335,-1.5000000000000002,-1.6666666666666667,-2.8333333333333335,-1.8333333333333335,-0.3333333333333335,-1.8333333333333335,-1.6666666666666667,-0.8333333333333335,-2.3333333333333335,-2.5,-2.8333333333333335,-2.8333333333333335,-1.5000000000000002,-2.666666666666667,-1.6666666666666667,1.0,-1.8333333333333335,-2.3333333333333335,0.5,-0.3333333333333335,1.1666666666666665,0.0,-1.1666666666666667,-0.16666666666666696,-1.0000000000000002
2018,,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.6666666666666667,-1.8333333333333335,-0.8333333333333335,-1.8333333333333335,-0.5,-1.6666666666666667,1.0,-1.8333333333333335,-2.8333333333333335,-2.166666666666667,-1.0000000000000002,-2.5,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.1666666666666667,-1.8333333333333335,-2.3333333333333335,-1.6666666666666667,-2.5,0.16666666666666652,-1.8333333333333335,-1.8333333333333335,-2.5,-1.8333333333333335,-2.0,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.5000000000000002,-0.8333333333333335,-2.8333333333333335,-2.8333333333333335,-0.16666666666666696,-0.8333333333333335,-1.0000000000000002,-0.8333333333333335,-0.666666666666667,0.33333333333333304,-1.6666666666666667,-2.0,-0.16666666666666696,-2.8333333333333335,-2.166666666666667,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,0.6666666666666665,-1.8333333333333335
2019,,-1.6666666666666667,-0.8333333333333335,-2.3333333333333335,-2.8333333333333335,-0.8333333333333335,-0.666666666666667,-2.8333333333333335,-1.8333333333333335,-2.0,-2.0,-1.8333333333333335,-1.8333333333333335,1.1666666666666665,-2.8333333333333335,-1.8333333333333335,-2.3333333333333335,-2.0,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-0.3333333333333335,-2.8333333333333335,-1.6666666666666667,-1.1666666666666667,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-0.16666666666666696,-1.6666666666666667,-0.16666666666666696,-1.8333333333333335,0.0,-2.666666666666667,2.1666666666666665,-2.8333333333333335,-1.8333333333333335,-1.0000000000000002,-2.8333333333333335,-2.8333333333333335,-1.0000000000000002,-2.8333333333333335,-1.1666666666666667,-2.8333333333333335,-1.0000000000000002,-0.8333333333333335,-1.5000000000000002,-1.8333333333333335,0.6666666666666665,-0.16666666666666696,-1.6666666666666667,-1.3333333333333335,-2.8333333333333335
2020,,0.16666666666666652,-1.1666666666666667,-2.666666666666667,-1.8333333333333335,0.0,-2.8333333333333335,-1.6666666666666667,-0.8333333333333335,-0.16666666666666696,-0.8333333333333335,-2.8333333333333335,-0.666666666666667,-0.5,0.5,-2.666666666666667,-1.6666666666666667,0.5,-2.166666666666667,-0.8333333333333335,1.4999999999999996,-2.8333333333333335,-2.166666666666667,-2.8333333333333335,4.333333333333334,0.16666666666666652,-2.8333333333333335,-1.3333333333333335,-2.3333333333333335,-1.6666666666666667,0.16666666666666652,-1.8333333333333335,-1.1666666666666667,-1.1666666666666667,-0.8333333333333335,-2.666666666666667,0.16666666666666652,-2.166666666666667,-1.5000000000000002,-2.8333333333333335,-0.5,-2.8333333333333335,-1.8333333333333335,-0.16666666666666696,-2.3333333333333335,-1.5000000000000002,-2.5,-2.8333333333333335,-0.8333333333333335,1.3333333333333335,-0.5,-0.666666666666667,-1.3333333333333335,-0.3333333333333335,-1.6666666666666667
2021,,0.16666666666666652,-2.666666666666667,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.1666666666666667,0.833333333333333,-2.0,-0.16666666666666696,-2.5,0.5,0.16666666666666652,0.833333333333333,-2.8333333333333335,1.6666666666666665,-1.8333333333333335,-1.6666666666666667,1.1666666666666665,-2.166666666666667,0.16666666666666652,-2.166666666666667,0.6666666666666665,0.16666666666666652,-2.8333333333333335,-2.666666666666667,-2.166666666666667,0.833333333333333,-1.8333333333333335,-1.5000000000000002,-0.16666666666666696,0.33333333333333304,-1.8333333333333335,-0.16666666666666696,-1.0000000000000002,-1.3333333333333335,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.3333333333333335,0.5,-2.8333333333333335,0.16666666666666652,-1.0000000000000002,-1.3333333333333335,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,0.0,-0.666666666666667,1.3333333333333335,-1.1666666666666667,-1.6666666666666667
2022,,0.16666666666666652,0.5,-1.8333333333333335,-1.1666666666666667,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.0000000000000002,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-1.6666666666666667,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.0000000000000002,-2.666666666666667,-2.8333333333333335,1.3333333333333335,-2.8333333333333335,-1.8333333333333335,-0.666666666666667,-1.8333333333333335,-2.8333333333333335,-1.8333333333333335,-2.5,-2.5,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.8333333333333335,0.33333333333333304,-0.8333333333333335,-1.8333333333333335,-1.8333333333333335,0.0,-0.8333333333333335,-0.16666666666666696,-2.8333333333333335,-1.8333333333333335,-1.6666666666666667,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.3333333333333335,-2.8333333333333335,-1.1666666666666667,-0.8333333333333335,-2.0,-1.6666666666666667
2023,,0.5,0.5,-1.8333333333333335,-0.8333333333333335,-2.3333333333333335,-2.3333333333333335,-2.8333333333333335,-1.3333333333333335,-2.8333333333333335,-1.8333333333333335,0.5,0.16666666666666652,-1.8333333333333335,-0.8333333333333335,-1.8333333333333335,-1.0000000000000002,-0.666666666666667,-1.8333333333333335,-1.3333333333333335,-1.8333333333333335,-2.8333333333333335,-1.3333333333333335,-2.8333333333333335,-1.0000000000000002,-2.0,0.16666666666666652,-1.8333333333333335,-2.166666666666667,0.16666666666666652,-2.8333333333333335,1.9999999999999996,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,0.5,-1.8333333333333335,-1.1666666666666667,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,-0.16666666666666696,-1.1666666666666667,-1.3333333333333335,-1.8333333333333335,-1.0000000000000002,-1.8333333333333335,-2.8333333333333335,-0.8333333333333335,-1.1666666666666667,-2.0,-0.666666666666667,-1.6666666666666667,-1.8333333333333335,-2.8333333333333335
2024,,-2.8333333333333335,5.166666666666666,-1.1666666666666667,-2.8333333333333335,-1.6666666666666667,-1.5000000000000002,1.4999999999999996,-1.8333333333333335,-0.5,-1.0000000000000002,-1.3333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-0.8333333333333335,-0.8333333333333335,-0.8333333333333335,-0.666666666666667,-1.8333333333333335,0.16666666666666652,0.16666666666666652,-1.3333333333333335,-2.8333333333333335,-0.8333333333333335,-2.166666666666667,-0.8333333333333335,-2.3333333333333335,-1.5000000000000002,-0.8333333333333335,-1.8333333333333335,-0.666666666666667,-2.166666666666667,-0.666666666666667,-1.8333333333333335,-2.166666666666667,-2.8333333333333335,-2.8333333333333335,-0.666666666666667,-1.3333333333333335,-1.8333333333333335,-1.8333333333333335,-1.0000000000000002,-2.8333333333333335,-2.8333333333333335,-2.3333333333333335,-0.8333333333333335,-1.8333333333333335,0.16666666666666652,-2.3333333333333335,2.8333333333333335,-0.16666666666666696,-1.8333333333333335
2025,,0.5,-0.8333333333333335,-1.8333333333333335,-2.5,-2.666666666666667,-1.8333333333333335,-0.8333333333333335,-1.8333333333333335,-0.3333333333333335,-0.8333333333333335,-1.5000000000000002,-2.8333333333333335,-0.8333333333333335,-1.6666666666666667,-2.3333333333333335,-1.5000000000000002,-0.8333333333333335,-2.8333333333333335,0.5,-0.5,-2.3333333333333335,1.1666666666666665,0.5,-0.8333333333333335,-2.166666666666667,-0.8333333333333335,-1.8333333333333335,-1.6666666666666667,-1.8333333333333335,-1.8333333333333335,0.0,-1.8333333333333335,-1.8333333333333335,-1.1666666666666667,-2.8333333333333335,-1.6666666666666667,-0.16666666666666696,-1.8333333333333335,2.3333333333333335,-1.8333333333333335,0.0,-2.8333333333333335,-2.3333333333333335,-0.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.1666666666666667,-1.8333333333333335,-2.3333333333333335,-1.8333333333333335,0.33333333333333304,1.3333333333333335,-2.0,-1.8333333333333335
2026,,-0.8333333333333335,-1.5000000000000002,-2.8333333333333335,-0.5,-1.1666666666666667,-1.6666666666666667,-1.8333333333333335,1.4999999999999996,-1.1666666666666667,1.4999999999999996,0.6666666666666665,-2.8333333333333335,-1.8333333333333335,-0.16666666666666696,-2.3333333333333335,-2.8333333333333335,-1.3333333333333335,-2.666666666666667,-2.8333333333333335,-2.8333333333333335,-2.666666666666667,-1.8333333333333335,0.5,1.3333333333333335,-1.8333333333333335,-1.8333333333333335,-2.3333333333333335,0.16666666666666652,-1.5000000000000002,-1.1666666666666667,-2.166666666666667,-2.3333333333333335,-0.8333333333333335,1.3333333333333335,-0.3333333333333335,1.9999999999999996,0.0,-1.6666666666666667,-2.5,-1.8333333333333335,-2.8333333333333335,-1.3333333333333335,-0.3333333333333335,-1.8333333333333335,0.5,-2.0,-1.1666666666666667,-2.8333333333333335,0.6666666666666665,-2.0,-0.8333333333333335,4.5,-2.166666666666667,-0.16666666666666696
2027,,1.6666666666666665,-2.166666666666667,-1.8333333333333335,-1.1666666666666667,-0.8333333333333335,-1.1666666666666667,-1.3333333333333335,-1.0000000000000002,-2.8333333333333335,-1.8333333333333335,-1.6666666666666667,0.0,-2.5,-1.8333333333333335,-2.666666666666667,-1.8333333333333335,-2.166666666666667,-0.3333333333333335,-0.16666666666666696,-1.3333333333333335,-1.1666666666666667,0.6666666666666665,-2.8333333333333335,-2.3333333333333335,-1.8333333333333335,-0.16666666666666696,-2.666666666666667,-2.3333333333333335,-1.8333333333333335,-2.166666666666667,0.0,-1.5000000000000002,-1.8333333333333335,-2.666666666666667,-1.3333333333333335,-2.8333333333333335,-2.8333333333333335,-2.8333333333333335,-0.3333333333333335,-1.8333333333333335,-2.166666666666667,-2.8333333333333335,-1.8333333333333335,-0.666666666666667,-2.5,0.16666666666666652,-2.5,-2.8333333333333335,-0.3333333333333335,-0.8333333333333335,3.9999999999999996,-2.8333333333333335,0.16666666666666652,-1.8333333333333335
2028,,-0.8333333333333335,-0.666666666666667,-2.8333333333333335,-2.166666666666667,-0.8333333333333335,-2.8333333333333335,0.0,-0.666666666666667,1.3333333333333335,-0.8333333333333335,-0.8333333333333335,-2.8333333333333335,-1.1666666666666667,-1.3333333333333335,-0.8333333333333335,-2.3333333333333335,-1.6666666666666667,-2.8333333333333335,-2.8333333333333335,-1.6666666666666667,-1.6666666666666667,-1.6666666666666667,0.0,2.1666666666666665,-0.8333333333333335,-1.5000000000000002,0.16666666666666652,-0.8333333333333335,-1.8333333333333335,-1.8333333333333335,1.1666666666666665,-1.1666666666666667,-1.8333333333333335,1.0,-2.8333333333333335,-2.666666666666667,-2.166666666666667,-2.8333333333333335,-2.8333333333333335,0.16666666666666652,-1.0000000000000002,-2.8333333333333335,-0.16666666666666696,-2.3333333333333335,-2.8333333333333335,-2.8333333333333335,0.6666666666666665,-1.8333333333333335,-1.1666666666666667,-1.8333333333333335,-1.6666666666666667,-2.166666666666667,0.16666666666666652,-1.6666666666666667
2029,,-1.8333333333333335,-2.5,-2.8333333333333335,-1.8333333333333335,-0.8333333333333335,-1.3333333333333335,-2.8333333333333335,-2.5,-1.3333333333333335,1.1666666666666665,-2.3333333333333335,-1.0000000000000002,0.0,1.3333333333333335,-2.3333333333333335,-2.8333333333333335,-2.3333333333333335,-2.8333333333333335,0.0,-1.8333333333333335,-1.5000000000000002,-0.666666666666667,-0.8333333333333335,-0.8333333333333335,-1.6666666666666667,1.9999999999999996,-2.8333333333333335,0.33333333333333304,0.16666666666666652,1.4999999999999996,0.6666666666666665,-1.8333333333333335,-1.8333333333333335,-0.5,-1.3333333333333335,-2.8333333333333335,-1.1666666666666667,-2.8333333333333335,-2.8333333333333335,-0.3333333333333335,-0.8333333333333335,-1.8333333333333335,-0.8333333333333335,-0.8333333333333335,1.1666666666666665,-1.8333333333333335,-2.8333333333333335,-0.666666666666667,1.3333333333333335,2.1666666666666665,-2.666666666666667,-2.0,-1.1666666666666667,-1.1666666666666667
2030,,1.6666666666666665,0.6666666666666665,-1.1666666666666667,-2.8333333333333335,-2.8333333333333335,0.5,-2.8333333333333335,-0.3333333333333335,-2.8333333333333335,0.0,0.16666666666666652,-1.8333333333333335,0.6666666666666665,-1.3333333333333335,-2.666666666666667,-2.166666666666667,-0.666666666666667,-2.166666666666667,-2.0,-2.8333333333333335,-1.6666666666666667,2.1666666666666665,0.33333333333333304,-1.8333333333333335,-2.666666666666667,-1.8333333333333335,-2.8333333333333335,-1.1666666666666667,0.0,-2.8333333333333335,-1.8333333333333335,-2.166666666666667,-1.6666666666666667,-2.8333333333333335,0.0,3.1666666666666665,-0.8333333333333335,-1.8333333333333335,-0.5,-1.0000000000000002,-1.6666666666666667,-1.3333333333333335,2.1666666666666665,-1.8333333333333335,0.833333333333333,-1.1666666666666667,-2.0,-1.3333333333333335,-1.1666666666666667,-0.8333333333333335,0.0,-2.8333333333333335,1.1666666666666665,-1.8333333333333335
2031,,-1.5000000000000002,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-0.8333333333333335,0.833333333333333,-1.6666666666666667,-2.8333333333333335,-0.8333333333333335,0.16666666666666652,-1.6666666666666667,-2.8333333333333335,-1.5000000000000002,-2.3333333333333335,-0.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.6666666666666667,-1.8333333333333335,1.3333333333333335,-2.8333333333333335,-2.8333333333333335,-1.1666666666666667,-2.8333333333333335,0.33333333333333304,-1.3333333333333335,0.16666666666666652,0.16666666666666652,-1.3333333333333335,-1.3333333333333335,-2.8333333333333335,1.0,-0.8333333333333335,-2.5,1.4999999999999996,-0.8333333333333335,-2.8333333333333335,-1.3333333333333335,-2.3333333333333335,-2.8333333333333335,-0.8333333333333335,0.6666666666666665,-2.5,-1.1666666666666667,-1.8333333333333335,-0.8333333333333335,-0.8333333333333335,-0.16666666666666696,-0.16666666666666696,-0.8333333333333335,-1.8333333333333335
2032,,-1.5000000000000002,0.16666666666666652,-2.8333333333333335,-2.3333333333333335,-2.0,-2.8333333333333335,-2.666666666666667,0.16666666666666652,-1.0000000000000002,-2.166666666666667,0.5,-1.1666666666666667,-0.3333333333333335,0.33333333333333304,-1.1666666666666667,-0.8333333333333335,-1.3333333333333335,-1.0000000000000002,0.16666666666666652,-1.3333333333333335,-2.8333333333333335,-2.3333333333333335,-0.5,-1.8333333333333335,-2.8333333333333335,-2.8333333333333335,0.33333333333333304,-2.8333333333333335,1.0,-0.666666666666667,0.0,-1.8333333333333335,-1.3333333333333335,-0.8333333333333335,-2.0,-0.3333333333333335,-2.8333333333333335,-1.1666666666666667,-2.5,-0.8333333333333335,-2.666666666666667,-1.6666666666666667,-1.0000000000000002,-1.8333333333333335,-0.16666666666666696,-2.8333333333333335,-1.3333333333333335,1.0,-2.8333333333333335,0.33333333333333304,-1.6666666666666667,-1.8333333333333335,1.0,-1.1666666666666667
2033,,1.0,1.6666666666666665,-1.0000000000000002,-2.8333333333333335,-1.6666666666666667,-0.666666666666667,-1.6666666666666667,0.6666666666666665,-2.8333333333333335,2.4999999999999996,-1.8333333333333335,-2.0,-2.8333333333333335,-0.16666666666666696,-2.8333333333333335,-0.8333333333333335,-1.8333333333333335,-0.8333333333333335,-0.5,-1.8333333333333335,-1.5000000000000002,-2.0,0.0,-2.8333333333333335,0.16666666666666652,-2.8333333333333335,0.16666666666666652,-1.5000000000000002,-1.8333333333333335,-2.666666666666667,-1.8333333333333335,-2.5,-0.8333333333333335,1.4999999999999996,-2.8333333333333335,-1.1666666666666667,-2.666666666666667,-1.8333333333333335,-2.8333333333333335,1.1666666666666665,-2.3333333333333335,-1.8333333333333335,-0.8333333333333335,-0.8333333333333335,-0.8333333333333335,-2.8333333333333335,-2.8333333333333335,0.833333333333333,-1.0000000000000002,1.1666666666666665,-1.8333333333333335,-0.8333333333333335,0.6666666666666665,0.6666666666666665
2034,,0.0,1.1666666666666665,-1.8333333333333335,-2.666666666666667,-0.8333333333333335,-2.8333333333333335,0.0,-0.8333333333333335,-2.666666666666667,-0.5,-2.666666666666667,-0.16666666666666696,-1.5000000000000002,-2.0,-1.1666666666666667,-1.3333333333333335,-2.5,0.16666666666666652,-1.8333333333333335,-2.8333333333333335,-2.166666666666667,-2.8333333333333335,1.6666666666666665,-1.8333333333333335,-2.8333333333333335,0.16666666666666652,-2.8333333333333335,-2.8333333333333335,3.1666666666666665,-2.3333333333333335,-0.8333333333333335,-2.8333333333333335,-0.5,-0.8333333333333335,1.1666666666666665,-2.0,-1.0000000000000002,-2.8333333333333335,-1.3333333333333335,-0.666666666666667,-0.8333333333333335,-1.1666666666666667,2.9999999999999996,-2.8333333333333335,-2.166666666666667,-2.166666666666667,0.33333333333333304,-2.5,-0.16666666666666696,0.833333333333333,0.16666666666666652,-0.666666666666667,-1.8333333333333335,0.33333333333333304
2035,,-1.0000000000000002,-2.8333333333333335,-2.8333333333333335,-1.8333333333333335,-2.8333333333333335,-1.8333333333333335,1.1666666666666665,-1.3333333333333335,-1.8333333333333335,-1.3333333333333335,-1.6666666666666667,-1.8333333333333335,-1.1666666666666667,-0.3333333333333335,-1.3333333333333335,-1.8333333333333335,-1.8333333333333335,-2.166666666666667,-2.8333333333333335,-1.8333333333333335,-1.8333333333333335,-1.8333333333333335,0.6666666666666665,-2.5,-0.5,-0.8333333333333335,4.333333333333334,-0.8333333333333335,1.0,-1.8333333333333335,-1.1666666666666667,-0.8333333333333335,-1.5000000000000002,-0.8333333333333335,0.5,-1.8333333333333335,-2.8333333333333335,-1.1666666666666667,-2.8333333333333335,-0.16666666666666696,-2.0,-2.3333333333333335,-2.8333333333333335,0.833333333333333,0.5,-0.666666666666667,-1.3333333333333335,-1.5000000000000002,-1.8333333333333335,-2.3333333333333335,-2.666666666666667,-2.8333333333333335,0.833333333333333,-1.8333333333333335
